"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"12/03/2025","1.081","1.069","1.081","1.066","215,20K","2,08%"
"11/03/2025","1.059","1.063","1.063","1.057","324,00K","-1,03%"
"10/03/2025","1.070","1.071","1.073","1.066","260,00K","-0,93%"
"07/03/2025","1.080","1.084","1.084","1.080","300,00K","-0,74%"
"06/03/2025","1.088","1.092","1.093","1.082","200,30K","0,83%"
"05/03/2025","1.079","1.078","1.079","1.069","201,10K","2,66%"
"04/03/2025","1.051","1.047","1.051","1.039","200,10K","3,96%"
"03/03/2025","1.011","1.011","1.011","1.011","0,10K","0,00%"
"28/02/2025","1.011","1.021","1.028","1.011","242,10K","-3,81%"
"27/02/2025","1.051","1.067","1.067","1.042","202,40K","-1,50%"
"26/02/2025","1.067","1.076","1.076","1.063","205,10K","-1,02%"
"25/02/2025","1.078","1.092","1.092","1.078","0,40K","-2,18%"
"24/02/2025","1.102","1.092","1.102","1.092","0,20K","-1,08%"
"20/02/2025","1.114","1.114","1.114","1.114","0,10K","-0,62%"
"19/02/2025","1.121","1.121","1.121","1.121","0,10K","-2,27%"
"18/02/2025","1.147","1.152","1.152","1.147","8,10K","0,53%"
"17/02/2025","1.141","1.106","1.141","1.106","0,30K","3,45%"
"14/02/2025","1.103","1.103","1.103","1.103","0,10K","0,00%"
"13/02/2025","1.103","1.094","1.103","1.094","0,20K","-0,45%"
"12/02/2025","1.108","1.108","1.108","1.108","0,10K","1,37%"
"11/02/2025","1.093","1.106","1.106","1.093","7,90K","-1,26%"
"10/02/2025","1.107","1.110","1.110","1.107","7,10K","-0,45%"
"07/02/2025","1.112","1.109","1.112","1.109","4,10K","0,27%"
"06/02/2025","1.109","1.109","1.109","1.109","0,10K","-3,65%"
"05/02/2025","1.151","1.151","1.151","1.151","0,10K","-1,12%"
"04/02/2025","1.164","1.164","1.164","1.164","0,10K","0,78%"
"03/02/2025","1.155","1.153","1.155","1.149","1,20K","-2,45%"
"31/01/2025","1.184","1.184","1.184","1.184","0,10K","2,25%"
"30/01/2025","1.158","1.188","1.188","1.158","2,70K","-2,53%"
"24/01/2025","1.188","1.188","1.188","1.188","0,10K","-0,75%"
"23/01/2025","1.197","1.197","1.197","1.197","0,10K","0,08%"
"22/01/2025","1.196","1.192","1.196","1.192","0,20K","0,67%"
