"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/01/2026","1.010","1.000","1.010","1.000","0,20K","1,00%"
"29/12/2025","1.000","1.000","1.000","1.000","0,10K","0,70%"
"23/12/2025","993","993","993","993","0,10K","-0,50%"
"22/12/2025","998","985","998","985","0,20K","-0,50%"
"18/12/2025","1.003","992","1.003","992","0,40K","0,60%"
"17/12/2025","997","997","997","997","0,10K","0,40%"
"16/12/2025","993","993","993","993","0,20K","-0,90%"
"15/12/2025","1.002","1.002","1.002","1.002","0,10K","1,62%"
"12/12/2025","986","986","986","986","0,10K","0,72%"
"11/12/2025","979","979","979","979","0,10K","-2,30%"
"10/12/2025","1.002","1.002","1.002","1.002","0,10K","0,80%"
"09/12/2025","994","994","994","994","0,10K","-0,90%"
"08/12/2025","1.003","1.008","1.008","1.003","0,40K","0,40%"
"03/12/2025","999","999","999","999","0,10K","0,71%"
"28/11/2025","992","992","992","992","0,10K","-0,80%"
"27/11/2025","1.000","1.000","1.000","1.000","0,10K","-0,99%"
"26/11/2025","1.010","1.010","1.010","1.010","0,10K","0,50%"
"25/11/2025","1.005","1.005","1.005","1.005","0,10K","-0,69%"
"24/11/2025","1.012","1.012","1.012","1.012","0,10K","1,71%"
"21/11/2025","995","995","995","995","0,10K","-1,09%"
"19/11/2025","1.006","1.006","1.006","1.006","0,10K","0,60%"
"18/11/2025","1.000","1.000","1.000","1.000","0,10K","-1,19%"
"17/11/2025","1.012","1.012","1.012","1.012","0,10K","0,70%"
"13/11/2025","1.005","1.011","1.011","1.005","0,20K","-1,18%"
"12/11/2025","1.017","1.017","1.017","1.017","0,10K","1,29%"
"11/11/2025","1.004","1.004","1.004","1.004","0,10K","-0,69%"
"06/11/2025","1.011","1.011","1.011","1.011","0,10K","0,60%"
"04/11/2025","1.005","1.005","1.005","1.005","0,10K","0,60%"
"29/10/2025","999","971","999","971","0,30K","1,94%"
"27/10/2025","980","980","980","980","0,10K","-1,41%"
"24/10/2025","994","994","994","994","0,10K","0,71%"
"23/10/2025","987","987","987","987","0,10K","2,28%"
"22/10/2025","965","960","965","960","1,20K","-0,82%"
"21/10/2025","973","973","973","973","1,20K","2,53%"
"20/10/2025","949","949","949","949","0,10K","3,83%"
"17/10/2025","914","914","914","914","0,10K","-0,98%"
"14/10/2025","923","923","923","923","0,10K","-1,81%"
"13/10/2025","940","940","940","940","0,10K","-0,63%"
"10/10/2025","946","946","946","946","0,10K","-0,73%"
"09/10/2025","953","939","953","939","8,00K","1,49%"
"01/10/2025","939","939","939","939","0,10K","-0,95%"
"30/09/2025","948","948","948","948","0,10K","-1,15%"
"29/09/2025","959","959","959","959","0,10K","0,52%"
"26/09/2025","954","954","954","954","0,20K","0,00%"
"25/09/2025","954","954","954","954","0,10K","-0,83%"
"17/09/2025","962","962","962","962","0,10K","0,73%"
"15/09/2025","955","955","955","955","0,10K","0,95%"
"12/09/2025","946","946","946","946","0,10K","0,53%"
"11/09/2025","941","941","941","941","0,10K","1,84%"
"10/09/2025","924","924","924","924","0,10K","1,20%"
"09/09/2025","913","913","913","913","0,10K","-1,83%"
"08/09/2025","930","930","930","930","0,10K","-1,48%"
"04/09/2025","944","944","944","944","0,10K","0,64%"
"02/09/2025","938","938","938","938","0,10K","1,08%"
"01/09/2025","928","928","928","928","0,10K","-1,80%"
"29/08/2025","945","962","962","945","0,50K","-1,77%"
"26/08/2025","962","962","962","962","0,10K","-1,64%"
"25/08/2025","978","968","978","968","3,10K","0,20%"
"20/08/2025","976","976","976","976","0,10K","1,35%"
"19/08/2025","963","963","963","963","0,10K","-0,82%"
"15/08/2025","971","971","971","971","0,10K","-0,82%"
"13/08/2025","979","979","979","979","0,10K","0,82%"
"12/08/2025","971","971","971","971","0,10K","3,41%"
"07/08/2025","939","939","939","939","0,10K","-0,74%"
"05/08/2025","946","946","946","946","0,10K","0,96%"
"31/07/2025","937","937","937","937","0,10K","-0,53%"
"30/07/2025","942","942","942","942","0,10K","-0,74%"
"28/07/2025","949","949","949","949","0,10K","1,28%"
"25/07/2025","937","937","937","937","0,10K","-0,74%"
"24/07/2025","944","932","944","932","0,20K","1,29%"
