"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"13/11/2019","500","500","500","500","0,40K","-0,79%"
"15/11/2019","494","494","494","494","0,80K","-1,20%"
"18/11/2019","494","494","494","494","10,10K","0,00%"
"20/11/2019","495","495","495","495","0,20K","0,20%"
"21/11/2019","491","492","492","491","2,40K","-0,81%"
"25/11/2019","487","487","487","487","1,00K","-0,81%"
"27/11/2019","483","483","483","483","0,10K","-0,82%"
"28/11/2019","479","479","479","479","0,40K","-0,83%"
"29/11/2019","471","471","471","471","0,10K","-1,67%"
"02/12/2019","470","470","470","470","8,50K","-0,21%"
"03/12/2019","481","481","481","481","0,10K","2,34%"
"10/12/2019","498","497","498","497","1,00K","3,53%"
"16/12/2019","498","504","504","498","5,50K","0,00%"
"06/01/2020","507","503","507","503","10,00K","1,81%"
"20/01/2020","501","503","503","501","2,50K","-1,18%"
"21/01/2020","489","489","489","489","2,50K","-2,40%"
"23/01/2020","483","483","483","483","2,50K","-1,23%"
"27/01/2020","468","477","477","468","9,70K","-3,11%"
"31/01/2020","447","452","452","447","0,20K","-4,49%"
"03/02/2020","443","447","447","443","0,70K","-0,89%"
"04/02/2020","440","440","440","440","2,30K","-0,68%"
"05/02/2020","444","446","446","444","0,30K","0,91%"
"06/02/2020","451","451","451","451","0,20K","1,58%"
"10/02/2020","441","441","441","441","0,40K","-2,22%"
"11/02/2020","439","442","442","438","4,00K","-0,45%"
"14/02/2020","435","435","435","435","0,10K","-0,91%"
"17/02/2020","445","445","445","445","0,10K","2,30%"
"18/02/2020","455","450","455","450","0,20K","2,25%"
"19/02/2020","457","457","457","457","0,10K","0,44%"
"21/02/2020","450","450","450","450","0,10K","-1,53%"
"27/02/2020","434","434","434","434","1,00K","-3,56%"
"09/03/2020","366","387","387","366","24,50K","-15,67%"
"10/03/2020","372","372","372","372","2,20K","1,64%"
"12/03/2020","366","366","366","366","0,30K","-1,61%"
"15/04/2020","342","344","344","342","1,20K","-6,56%"
"16/04/2020","325","325","325","325","0,10K","-4,97%"
