"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"21/06/2023","1.001","1.001","1.001","1.000","1,30K","0,00%"
"26/06/2023","1.001","1.001","1.001","1.001","0,10K","0,00%"
"05/07/2023","1.002","1.002","1.002","1.001","2,30K","0,10%"
"06/07/2023","1.002","1.002","1.002","1.002","0,10K","0,00%"
"07/07/2023","1.002","1.002","1.002","1.002","2,00K","0,00%"
"10/07/2023","1.002","1.002","1.002","1.002","2,00K","0,00%"
"21/07/2023","1.002","1.002","1.002","1.002","1,10K","0,00%"
"26/07/2023","1.002","1.002","1.002","1.002","0,10K","0,00%"
"01/08/2023","1.002","1.002","1.002","1.002","1,00K","0,00%"
"09/08/2023","1.002","1.002","1.002","1.002","0,10K","0,00%"
"11/08/2023","1.000","1.003","1.003","1.000","0,20K","-0,20%"
"23/08/2023","999","999","999","999","2,00K","-0,10%"
"24/08/2023","999","999","999","999","0,10K","0,00%"
"25/08/2023","999","999","999","999","3,00K","0,00%"
"28/08/2023","998","998","998","998","0,10K","-0,10%"
"30/08/2023","1.000","1.000","1.000","997","0,50K","0,20%"
"04/09/2023","1.000","1.000","1.000","1.000","5,00K","0,00%"
"08/09/2023","1.000","1.000","1.000","1.000","0,20K","0,00%"
"15/09/2023","1.000","1.000","1.000","1.000","0,20K","0,00%"
"18/09/2023","1.001","1.001","1.001","1.001","12,60K","0,10%"
"21/09/2023","1.001","1.001","1.001","1.001","0,30K","0,00%"
"03/10/2023","999","997","999","997","2,30K","-0,20%"
"23/10/2023","995","995","995","995","0,10K","-0,40%"
"25/10/2023","995","995","995","995","0,60K","0,00%"
"07/11/2023","999","999","999","999","0,10K","0,40%"
"20/11/2023","1.000","1.000","1.000","1.000","11,00K","0,10%"
"23/11/2023","998","998","998","998","0,60K","-0,20%"
"30/11/2023","1.003","1.003","1.003","1.003","0,10K","0,50%"
"15/12/2023","1.003","1.003","1.003","1.003","1,40K","0,00%"
"20/12/2023","1.005","1.005","1.005","1.005","2,80K","0,20%"
"02/01/2024","1.010","1.010","1.010","1.010","1,00K","0,50%"
"03/01/2024","1.009","1.009","1.009","1.009","2,60K","-0,10%"
"10/01/2024","1.008","1.008","1.008","1.008","0,10K","-0,10%"
"15/01/2024","1.005","1.005","1.005","1.005","0,10K","-0,30%"
"06/02/2024","1.011","1.011","1.011","1.011","2,50K","0,60%"
